generation,length_cm,diameter_cm,volume_ml
1,0.7617,0.0896,0.00480274862439334
2,0.5061,0.0662,0.00174197612159567
3,0.1455,0.0575,0.000377823149610124
4,0.0967,0.0426,0.000137827396836392
5,0.0843,0.0353,8.25024540231742e-05
6,0.0877,0.0299,6.15788893175701e-05
7,0.0778,0.0288,5.06820827760439e-05
8,0.0769,0.026,4.08284522853183e-05
9,0.0792,0.026,4.20495893497687e-05
10,0.0721,0.026,3.82799923247263e-05
11,0.0704,0.0243,3.2649391209921e-05
12,0.0802,0.0264,4.39007665377112e-05
13,0.074,0.0243,3.43189623513374e-05
14,0.0798,0.0208,2.71156139806993e-05
15,0.0619,0.0213,2.20566594213357e-05
